id,tweet,aspek_A1,aspek_A2,sentimen_S1,sentimen_S2
1,menteri pertanian mentan andi amran sulaiman menegaskan pemerintah terus menjalankan kebijakan pro petani mulai penyesuaian harga gabah akses pupuk subsidi hingga bantuan alat dan mesin pertanian demi memperkuat ketahanan pangan nasiona,Kebijakan dan Pelayanan Pemerintah,Fleksibilitas,Positif,Positif
2,kabar gembira bagi para petani di seluruh indonesia pemerintah melalui kementerian koordinator bidang pangan amp kementerian pertanian telah memangkas regulasi yang dinilai memperlambat alur distribusi pupuk bersubsidi dengan adanya kebijakan ini diharapkan petani cont,Kebijakan dan Pelayanan Pemerintah,Kebijakan dan Pelayanan Pemerintah,Positif,Positif
3,repost presiden prabowo kembali menunjukkan love languagenya untuk petani indonesia harga gabah naik harga pupuk subsidi turun dua kebijakan penting yang langsung dirasakan petani di seluruh indonesia,Kebijakan dan Pelayanan Pemerintah,Fleksibilitas,Positif,Positif
4,kedaulatan pangan menjadi program prioritas pemerintahan prabowogibran program ini menghadapi sejumlah tantangan seperti menurunnya jumlah petani dan kurangnya regenerasi petani karena saat ini mayoritas petani berusia tahun ke atas bagaimana arah kebijakan pemerintah di,Kebijakan dan Pelayanan Pemerintah,Kebijakan dan Pelayanan Pemerintah,Positif,Positif
5,kabar baik bagi seluruh petani indonesiapemerintah resmi menurunkan het pupuk bersubsidi hingga di indonesia mulai oktober langkah bersejarah ini merupakan arahan langsung presiden yang ingin memastikan pupuk tersedia dengan harga terjangkau tepat waktuamptepat sasaran,Kebijakan dan Pelayanan Pemerintah,Kebijakan dan Pelayanan Pemerintah,Positif,Positif
6,menteri keuangan purbaya yudhi sadewa membeberkan perbedaan harga barangbarang subsidi yang selisihnya selama ini ditanggung pemerintah mulai dari pertalite hingga lpg kg untuk realisasi tahun anggaran pemberian subsidi ini merupakan bentuk keberpihakan fiskal agar,Kebijakan dan Pelayanan Pemerintah,Transparansi,Positif,Positif
7,bersama petani desa wilalung demak kita membahas mengapa pupuk bersubsidi sering langka di pasaran ternyata ini terjadi karena kuotanya dikurangi pemerintah ganjar mahfud berkomitmen menambah kuota pupuk bersubsidi dan akan membangun tiga pabrik pupuk untuk memenuhi kebutuhan,Keterwakilan,Transparansi,Negatif,Positif
8,presiden prabowo subianto menggelar rapat terbatas dengan memanggil sejumlah menteri kabinet merah putih untuk membahas kebijakan subsidi pada rabu siang presiden menekankan agar subsidi yang diberikan dapat tepat sasaran kepada masyarakat yang paling membutuhkan,Kebijakan dan Pelayanan Pemerintah,Keterwakilan,Positif,Positif
9,mengkritisi program kebijakan pemerintah itu bukan berarti menyerang presiden prabowo jadi begini sodara presiden prabowo itu kan punya pembantu menteri kepala dll nah tidak semua inner circle presiden mampu mengterjemahkan dengan baik kebijakan tsb kadang ada yg,Kompetensi Menteri,Transparansi,Negatif,Positif
10,sobatani tahun kepemimpinan presiden sejak telah menorehkan berbagai prestasi termasuk di bidang pertanian kebijakan pemerintah melalui kementan yang manfaatnya dirasakan betul oleh petani ialah penambahan alokasi pupuk bersubsidi amp penyaluran pompanisasi,Kebijakan dan Pelayanan Pemerintah,Kompetensi Menteri,Positif,Positif
11,makanya lain kali bikin kebijakan itu dikaji yang mendalam bukan ujug langsung mau diterapkan bikin rumah subsidi kok meter persegi tuh rumah atau kandang ayam hari ini kami pertama menyampaikan permohonan maaf saya punya ide dan mungkin yang kurang tepat tapi,Kompetensi Menteri,Kebijakan dan Pelayanan Pemerintah,Negatif,Negatif
12,para nelayan ngamuk kebijakan bahlul gak bisa beli bbm pakai dirigen sejumlah nelayan di palabuhanratu sukabumi melancarkan protes ke spbu setelah mereka ditolak saat mencoba membeli bbm subsidi menggunakan jerigen padahal selama ini mereka biasa membeli secara seperti,Kompetensi Menteri,Kebijakan dan Pelayanan Pemerintah,Negatif,Negatif
13,mbok sesekali kompas dan kawan pers yg lain dalami masalah bbm impor produksi migas dan kebijakan energi kita ke depan ditengah kondisi dunia saat ini sehingga soal spbu swastaasing ini bisa menyampaikan pesan yg clear maksud baik kebijakan pemerintah paham dimana,Keterwakilan,Kebijakan dan Pelayanan Pemerintah,Negatif,Negatif
